VATyp;VA_Nr_(KT);Datum_von;Datum_bis;Dauer;Veranstaltungsstätte;VA_Raum;VA_Buchung_Name;Buchungsstatus;Veranstalter_1;VA_RaumFläche;Aktivitätsstatus
Son;12246;25.06.2024 08:00;25.06.2024 16:00;8;FFK;Rotunde;Flüchtlingsschutzssymposium;Vtg ok;Evangelische Akademie zu Berlin gGmbH;87;Veranstaltung allgemein
Son;12246;25.06.2024 08:00;25.06.2024 16:00;8;FFK;Restaurant Hugo & Notte;Flüchtlingsschutzssymposium;Vtg ok;Evangelische Akademie zu Berlin gGmbH;160;Veranstaltung allgemein
MV;12253;26.06.2024 12:30;27.06.2024 00:30;12;FFK;Saal;Johannisempfang 2024;Vtg ok;Bevollmächtigter des Rates der EKD bei der Bundesrepublik Deutschland und der Europäischen Union;720;Veranstaltung allgemein
MV;12253;26.06.2024 12:30;27.06.2024 00:30;12;FFK;Entrée;Johannisempfang 2024;Vtg ok;Bevollmächtigter des Rates der EKD bei der Bundesrepublik Deutschland und der Europäischen Union;24;Veranstaltung allgemein
MV;12253;26.06.2024 12:30;27.06.2024 00:30;12;FFK;Salon Godet;Johannisempfang 2024;Vtg ok;Bevollmächtigter des Rates der EKD bei der Bundesrepublik Deutschland und der Europäischen Union;22;Veranstaltung allgemein
MV;12253;26.06.2024 12:30;27.06.2024 00:30;12;FFK;Georges-Casalis-Saal;Johannisempfang 2024;Vtg ok;Bevollmächtigter des Rates der EKD bei der Bundesrepublik Deutschland und der Europäischen Union;160;Veranstaltung allgemein
MV;12253;26.06.2024 12:30;27.06.2024 00:30;12;FFK;Französische Friedrichstadtkirche;Johannisempfang 2024;Vtg ok;Bevollmächtigter des Rates der EKD bei der Bundesrepublik Deutschland und der Europäischen Union;0;Veranstaltung allgemein
MV;12253;26.06.2024 12:30;27.06.2024 00:30;12;FFK;Restaurant Hugo & Notte;Johannisempfang 2024;Vtg ok;Bevollmächtigter des Rates der EKD bei der Bundesrepublik Deutschland und der Europäischen Union;160;Veranstaltung allgemein
MV;12179;14.05.2024 08:00;15.05.2024 00:00;16;FFK;Rotunde;Galadinner;Vtg ok;Heacon Service GmbH;87;Veranstaltung allgemein
MV;12244;25.05.2024 10:00;25.05.2024 14:30;4,5;FFK;Französische Friedrichstadtkirche;Event Pulse of Berlin;Vtg ok;YPO Berlin e.V.;0;Veranstaltung allgemein
MV;12244;25.05.2024 12:30;25.05.2024 14:30;2;FFK;Restaurant Hugo & Notte;Event Pulse of Berlin;Vtg ok;YPO Berlin e.V.;160;Veranstaltung allgemein
MV;12244;25.05.2024 10:00;25.05.2024 14:30;4,5;FFK;Rotunde;Event Pulse of Berlin;Vtg ok;YPO Berlin e.V.;87;Veranstaltung allgemein
MV;12181;12.01.2024 16:00;12.01.2024 22:00;6;FFK;Französische Friedrichstadtkirche;Konzert;Vtg ok;FRANZHANS 06 GmbH;0;Veranstaltung allgemein
MV;12181;12.01.2024 16:00;12.01.2024 22:00;6;FFK;Saal;Konzert;Vtg ok;FRANZHANS 06 GmbH;720;Veranstaltung allgemein
MV;12181;12.01.2024 16:00;12.01.2024 22:00;6;FFK;Salon Godet;Konzert;Vtg ok;FRANZHANS 06 GmbH;22;Veranstaltung allgemein
MV;12182;26.01.2024 16:00;26.01.2024 22:00;6;FFK;Französische Friedrichstadtkirche;Konzert;Vtg ok;FRANZHANS 06 GmbH;0;Veranstaltung allgemein
MV;12182;26.01.2024 16:00;26.01.2024 22:00;6;FFK;Saal;Konzert;Vtg ok;FRANZHANS 06 GmbH;720;Veranstaltung allgemein
MV;12182;26.01.2024 16:00;26.01.2024 22:00;6;FFK;Salon Godet;Konzert;Vtg ok;FRANZHANS 06 GmbH;22;Veranstaltung allgemein
TF;;22.04.2024 07:00;22.04.2024 10:00;3;FFK;Französische Friedrichstadtkirche;Wartung BMA;Fix;;0;Wartung
TF;;29.01.2024 07:00;29.01.2024 10:00;3;FFK;Französische Friedrichstadtkirche;Wartung Instandsetzung;Fix;;0;Wartung
TF;;15.07.2024 07:00;15.07.2024 10:00;3;FFK;Französische Friedrichstadtkirche;Wartung Instandsetzung;Fix;;0;Wartung
MV;12181;13.01.2024 16:00;13.01.2024 22:00;6;FFK;Saal;Konzert;Vtg ok;FRANZHANS 06 GmbH;720;Veranstaltung allgemein
MV;12181;13.01.2024 16:00;13.01.2024 22:00;6;FFK;Salon Godet;Konzert;Vtg ok;FRANZHANS 06 GmbH;22;Veranstaltung allgemein
MV;12181;13.01.2024 16:00;13.01.2024 22:00;6;FFK;Französische Friedrichstadtkirche;Konzert;Vtg ok;FRANZHANS 06 GmbH;0;Veranstaltung allgemein
MV;12171;14.01.2024 13:30;14.01.2024 19:30;6;FFK;Französische Friedrichstadtkirche;Neujahrskonzert;Vtg ok;Orchester Ronny Heinrich;0;Konzert
MV;12171;14.01.2024 13:30;14.01.2024 19:30;6;FFK;Saal;Neujahrskonzert;Vtg ok;Orchester Ronny Heinrich;720;Konzert
MV;12171;14.01.2024 13:30;14.01.2024 19:30;6;FFK;Salon Godet;Neujahrskonzert;Vtg ok;Orchester Ronny Heinrich;22;Konzert
MV;12248;12.05.2024 13:30;12.05.2024 19:30;6;FFK;Französische Friedrichstadtkirche;Muttertagskonzert;Vtg ok;Orchester Ronny Heinrich;0;Konzert
MV;12248;12.05.2024 13:30;12.05.2024 19:30;6;FFK;Saal;Muttertagskonzert;Vtg ok;Orchester Ronny Heinrich;720;Konzert
MV;12248;12.05.2024 13:30;12.05.2024 19:30;6;FFK;Salon Godet;Muttertagskonzert;Vtg ok;Orchester Ronny Heinrich;22;Konzert
MV;12106;06.01.2024 13:50;06.01.2024 20:20;6,5;FFK;Französische Friedrichstadtkirche;Neujahrskonzert;Vtg ok;vero - Verband der Bau- und Rohstoffindustrie e.V.;0;Veranstaltung allgemein
MV;12106;06.01.2024 13:50;06.01.2024 20:20;6,5;FFK;Saal;Neujahrskonzert;Vtg ok;vero - Verband der Bau- und Rohstoffindustrie e.V.;720;Veranstaltung allgemein
MV;12106;06.01.2024 13:50;06.01.2024 20:20;6,5;FFK;Salon Godet;Neujahrskonzert;Vtg ok;vero - Verband der Bau- und Rohstoffindustrie e.V.;22;Veranstaltung allgemein
MV;12106;06.01.2024 13:50;06.01.2024 20:20;6,5;FFK;Georges-Casalis-Saal;Neujahrskonzert;Vtg ok;vero - Verband der Bau- und Rohstoffindustrie e.V.;160;Veranstaltung allgemein
MV;12106;06.01.2024 13:50;06.01.2024 20:20;6,5;FFK;Restaurant Hugo & Notte;Neujahrskonzert;Vtg ok;vero - Verband der Bau- und Rohstoffindustrie e.V.;160;Veranstaltung allgemein
MV;12106;06.01.2024 13:50;06.01.2024 20:20;6,5;FFK;Rotunde;Neujahrskonzert;Vtg ok;vero - Verband der Bau- und Rohstoffindustrie e.V.;87;Veranstaltung allgemein
MV;12312;05.10.2024 16:30;05.10.2024 22:30;6;FFK;Französische Friedrichstadtkirche;Weltkonzert;Vtg ok;Weltkonzerte;0;Veranstaltung allgemein
MV;12312;05.10.2024 16:30;05.10.2024 22:30;6;FFK;Saal;Weltkonzert;Vtg ok;Weltkonzerte;720;Veranstaltung allgemein
MV;12312;05.10.2024 16:30;05.10.2024 22:30;6;FFK;Salon Godet;Weltkonzert;Vtg ok;Weltkonzerte;22;Veranstaltung allgemein
MV;12165;07.12.2024 13:00;07.12.2024 22:00;9;FFK;Georges-Casalis-Saal;Konzerte;Vtg ok;FRANZHANS 06 GmbH;160;Konzert
MV;12112;07.01.2024 08:30;07.01.2024 14:00;5,5;FFK;Entrée;Catering zu: 75 Jahrfeier der Evangelischen Forschungsakademie;Vtg ok;Evangelische Forschungsakademie | Union Evangelischer Kirchen in der EKD (UEK);24;Veranstaltung allgemein
MV;12179;14.05.2024 08:00;15.05.2024 00:00;16;FFK;Französische Friedrichstadtkirche;Galadinner;Vtg ok;Heacon Service GmbH;0;Veranstaltung allgemein
